".colorLevels",".ci",".y",".sids",".axisIndex","js0.Test Condition","js0.Supergroup",".ri",".colorHash",".xLevels",".nXLevels",".nValuesPerXLevel",".xSeqPerLevels",".xs",".ys",".y0s"
0,0,275.81314617764696,17426,0,"Control","Sgroup1",0,2081445078,0,6,1,0,5461,30502,4681
0,0,325.87729227982794,54615,0,"Control","Sgroup1",0,2081445078,1,6,1,0,16384,35189,4681
0,0,368.56086333106936,1298,0,"Control","Sgroup1",0,2081445078,2,6,1,0,27306,39185,4681
0,0,370.4776997962418,5202,0,"Control","Sgroup1",0,2081445078,3,6,1,0,38228,39365,4681
0,0,524.7830352426232,20823,0,"Control","Sgroup1",0,2081445078,4,6,1,0,49151,53811,4681
0,0,615.8780469398537,50711,0,"Control","Sgroup1",0,2081445078,5,6,1,0,60073,62339,4681
2,1,26.503660101124442,5203,0,"T01","Sgroup1",0,11286501,0,3,1,0,10922,7162,4681
2,1,264.1083691796846,1299,0,"T01","Sgroup1",0,11286501,1,3,1,0,32767,29406,4681
2,1,292.7477171534224,17427,0,"T01","Sgroup1",0,11286501,2,3,1,0,54612,32088,4681
0,0,120.1796090861067,54621,0,"Control","Sgroup1",1,2081445078,0,6,1,0,5461,35772,17872
0,0,157.27114934721908,17432,0,"Control","Sgroup1",1,2081445078,1,6,1,0,16384,41297,17872
0,0,247.7247000226398,1304,0,"Control","Sgroup1",1,2081445078,2,6,1,0,27306,54769,17872
0,0,256.17689231001435,20829,0,"Control","Sgroup1",1,2081445078,3,6,1,0,38228,56028,17872
0,0,315.3497849218927,5208,0,"Control","Sgroup1",1,2081445078,4,6,1,0,49151,64841,17872
0,0,319.05516564787564,50717,0,"Control","Sgroup1",1,2081445078,5,6,1,0,60073,65393,17872
2,1,-69.92679797751113,5209,0,"T01","Sgroup1",1,11286501,0,3,1,0,10922,7457,17872
2,1,-6.4900762206625915,17433,0,"T01","Sgroup1",1,11286501,1,3,1,0,32767,16906,17872
2,1,21.99833974794355,1305,0,"T01","Sgroup1",1,11286501,2,3,1,0,54612,21149,17872
4,2,210.63315976152742,1302,0,"T02","Sgroup1",0,11286501,0,3,1,0,10922,24400,4681
4,2,216.4138555580711,5206,0,"T02","Sgroup1",0,11286501,1,3,1,0,32767,24941,4681
4,2,235.21243679722286,17430,0,"T02","Sgroup1",0,11286501,2,3,1,0,54612,26701,4681
1,3,206.44479661912308,1303,0,"Control","Sgroup2",0,-571668846,0,6,1,0,5461,24008,4681
1,3,227.79412874500036,54610,0,"Control","Sgroup2",0,-571668846,1,6,1,0,16384,26007,4681
1,3,241.54403441249718,17431,0,"Control","Sgroup2",0,-571668846,2,6,1,0,27306,27294,4681
1,3,252.72054939249867,50706,0,"Control","Sgroup2",0,-571668846,3,6,1,0,38228,28340,4681
1,3,261.3538600860312,5207,0,"Control","Sgroup2",0,-571668846,4,6,1,0,49151,29148,4681
1,3,284.2728850652781,20818,0,"Control","Sgroup2",0,-571668846,5,6,1,0,60073,31294,4681
4,2,95.39657384348351,1308,0,"T02","Sgroup1",1,11286501,0,3,1,0,10922,32081,17872
4,2,111.47837899026489,5212,0,"T02","Sgroup1",1,11286501,1,3,1,0,32767,34476,17872
4,2,127.72620934269112,17436,0,"T02","Sgroup1",1,11286501,2,3,1,0,54612,36896,17872
1,3,108.21824767942043,54616,0,"Control","Sgroup2",1,-571668846,0,6,1,0,5461,33991,17872
1,3,122.42094936231227,50712,0,"Control","Sgroup2",1,-571668846,1,6,1,0,16384,36106,17872
1,3,128.90347898271827,1309,0,"Control","Sgroup2",1,-571668846,2,6,1,0,27306,37071,17872
1,3,150.75843332578674,5213,0,"Control","Sgroup2",1,-571668846,3,6,1,0,38228,40327,17872
1,3,202.64885669006114,20824,0,"Control","Sgroup2",1,-571668846,4,6,1,0,49151,48055,17872
1,3,214.5573918949513,17437,0,"Control","Sgroup2",1,-571668846,5,6,1,0,60073,49829,17872
0,0,6.407063617840163,17434,0,"Control","Sgroup1",2,2081445078,0,6,1,0,5461,1024,65535
0,0,26.526299901894195,20831,0,"Control","Sgroup1",2,2081445078,1,6,1,0,16384,15674,65535
0,0,53.799713229190246,5210,0,"Control","Sgroup1",2,2081445078,2,6,1,0,27306,35533,65535
0,0,67.06663648026564,54623,0,"Control","Sgroup1",2,2081445078,3,6,1,0,38228,45194,65535
0,0,73.70764470605991,1306,0,"Control","Sgroup1",2,2081445078,4,6,1,0,49151,50029,65535
0,0,84.31061806656102,50719,0,"Control","Sgroup1",2,2081445078,5,6,1,0,60073,57750,65535
2,1,13.689532865444118,17435,0,"T01","Sgroup1",2,11286501,0,3,1,0,10922,6327,65535
2,1,57.701305561844386,1307,0,"T01","Sgroup1",2,11286501,1,3,1,0,32767,38374,65535
2,1,62.47830352426232,5211,0,"T01","Sgroup1",2,11286501,2,3,1,0,54612,41853,65535
0,0,567.006263678213,17456,0,"Control","Sgroup1",3,2081445078,0,6,1,0,5461,44927,3640
0,0,638.3367293034488,54645,0,"Control","Sgroup1",3,2081445078,1,6,1,0,16384,50121,3640
0,0,764.0781827786582,50741,0,"Control","Sgroup1",3,2081445078,2,6,1,0,27306,59277,3640
0,0,785.9784167232662,20853,0,"Control","Sgroup1",3,2081445078,3,6,1,0,38228,60872,3640
0,0,789.0800694287224,1328,0,"Control","Sgroup1",3,2081445078,4,6,1,0,49151,61098,3640
0,0,812.5499962266998,5232,0,"Control","Sgroup1",3,2081445078,5,6,1,0,60073,62807,3640
2,1,-4.33174854727945,5233,0,"T01","Sgroup1",3,11286501,0,3,1,0,10922,3325,3640
2,1,398.8755565617689,1329,0,"T01","Sgroup1",3,11286501,1,3,1,0,32767,32685,3640
2,1,415.28186551958345,17457,0,"T01","Sgroup1",3,11286501,2,3,1,0,54612,33879,3640
4,2,18.33069202324353,5214,0,"T02","Sgroup1",2,11286501,0,3,1,0,10922,9706,65535
4,2,39.39325333937062,17438,0,"T02","Sgroup1",2,11286501,1,3,1,0,32767,25043,65535
4,2,57.95788997056825,1310,0,"T02","Sgroup1",2,11286501,2,3,1,0,54612,38561,65535
1,3,44.38155610897291,20826,0,"Control","Sgroup2",2,-571668846,0,6,1,0,5461,28675,65535
1,3,52.9016677986567,5215,0,"Control","Sgroup2",2,-571668846,1,6,1,0,16384,34879,65535
1,3,66.18368425024526,50714,0,"Control","Sgroup2",2,-571668846,2,6,1,0,27306,44551,65535
1,3,75.66221417251529,1311,0,"Control","Sgroup2",2,-571668846,3,6,1,0,38228,51453,65535
1,3,78.15259225718813,54618,0,"Control","Sgroup2",2,-571668846,4,6,1,0,49151,53266,65535
